id,start_count,end_count,combined_count,name,lat,long
BK-A7,544,552,1096,Vine St at Shattuck Ave,37.88022244590679,-122.26959228515624
BK-B7,352,400,752,Virginia St at Shattuck Ave,37.87657254910685,-122.26952791213988
BK-C1,278,330,608,Fifth St at Delaware St,37.870407115465376,-122.29967594146729
BK-C5,536,455,991,North Berkeley BART,37.8738556998122,-122.28298832384976
BK-C6,567,598,1165,MLK Jr Way at University Ave,37.8717192,-122.2730677
BK-C7,686,709,1395,Shattuck Ave at Hearst Ave,37.87367621459825,-122.26848721504211
BK-C9,1198,1070,2268,Euclid Ave at Hearst Ave,37.8753207,-122.2601554
BK-D1,475,539,1014,Addison St at Fourth St,37.866249,-122.2993708
BK-D10,1674,1549,3223,Bancroft Way at College Ave,37.869394312305865,-122.25433029666108
BK-D2,129,183,312,10th St at University Ave,37.869068584123774,-122.2934198434296
BK-D4,246,277,523,West St at University Ave,37.86996670760404,-122.28653311729433
BK-D5,229,253,482,Addison St at California St,37.86972662872833,-122.27938914547282
BK-D7-1,1659,1689,3348,Downtown Berkeley BART,37.870139,-122.268422
BK-D7-2,521,545,1066,Berkeley Civic Center,37.8690599,-122.270556
BK-E10,125,109,234,Haste St at College Ave,37.8665209865504,-122.2538440662579
BK-E3,333,374,707,Channing Way at San Pablo Ave,37.86281710670802,-122.2902952903697
BK-E7,552,556,1108,Channing Way at Shattuck Ave,37.8658466,-122.2674431
BK-E8,553,548,1101,Fulton St at Bancroft Way,37.868135281599706,-122.26593686946156
BK-E9-1,2023,1859,3882,Bancroft Way at Telegraph Ave,37.8689109,-122.2587857
BK-E9-2,192,162,354,Haste St at Telegraph Ave,37.86605793797572,-122.25883711768392
BK-F10,653,595,1248,Derby St at College Ave,37.86175955253551,-122.25367726566596
BK-F2,225,265,490,Ninth St at Parker St,37.8588682,-122.2912095
BK-F7,424,440,864,Milvia St at Derby St,37.86012459911685,-122.2693844139576
BK-F8,942,887,1829,Parker St at Fulton St,37.8624644,-122.2647911
BK-F9,573,508,1081,Telegraph Ave at Carleton St,37.861927509,-122.258785129
BK-G10,594,582,1176,Russell St at College Ave,37.8584732,-122.2532529
BK-G4,148,197,345,San Pablo Park,37.85578332030199,-122.28312671184538
BK-G7,571,598,1169,Oregon St at Adeline St,37.8575672,-122.2675583
BK-G8,263,261,524,Ellsworth St at Russell St,37.85760774739988,-122.26160466670989
BK-H3,495,498,993,Ninth St at Heinz Ave,37.85299776297823,-122.28944645338662
BK-H6,883,888,1771,Ashby BART,37.8524766,-122.2702132
BK-H8,264,251,515,Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998
BK-H9,428,417,845,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
BK-I10,414,374,788,College Ave at Alcatraz Ave,37.8513755,-122.2525233
BK-I5,237,259,496,Woolsey St at Sacramento St,37.8505777,-122.2781754
BK-I6,240,225,465,Harmon St at Adeline St,37.849735,-122.270582
EM-1,1,0,1,Emeryville Depot,37.830296182687,-122.2894299030304
EM-A1,205,201,406,59th St at Horton St,37.84097755,-122.29118073
EM-A2,105,142,247,Doyle St at 59th St,37.8419238,-122.2880451
EM-AA2,47,56,103,Vallejo St at 66th St,37.84835596348644,-122.2886089419628
EM-B0,50,47,97,Powell St at Commodore Dr,37.837025,-122.304826
EM-B0-2,59,68,127,2100 Powell St,37.83954308266563,-122.2987177222967
EM-B1,83,94,177,Emeryville Public Market,37.84052116694969,-122.29352831840517
EM-B2,72,76,148,Stanford Ave at Hollis St,37.8384435,-122.2886647
EM-C1,271,306,577,65th St at Hollis St,37.8467842,-122.2913761
EM-C1-2,237,276,513,Bay Street Plaza,37.834574108061645,-122.29206176011056
EM-C2,69,71,140,53rd St at Hollis St,37.8361823,-122.2871801
EM-C3,245,282,527,47th St at San Pablo Ave,37.8356703,-122.2811258
EM-D2,149,157,306,Horton St at 40th St,37.8297046,-122.2876102
EM-D2-2,121,118,239,Huchiun Park,37.83159410797172,-122.2903389768136
EM-D3,123,135,258,Emeryville Town Hall,37.8312752,-122.2856333
EM-D4,183,189,372,Adeline St at 40th St,37.8312769,-122.2782669
OK-A2,234,220,454,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596
OK-A4,296,246,542,62nd St at Claremont Ave,37.8494355,-122.2525406
OK-AA3,165,176,341,65th St at San Pablo Ave,37.84814590831065,-122.2851545595561
OK-B1,213,201,414,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393
OK-B2,162,142,304,Bushrod Park,37.8465156,-122.2653043
OK-B3,165,147,312,Telegraph Ave at 58th St,37.8444927,-122.261351
OK-B4,1066,1082,2148,Rockridge BART,37.84427875399067,-122.251900434494
OK-B5,155,158,313,College Ave at Taft Ave,37.8417999,-122.2515349
OK-C2,147,154,301,Dover St at 57th St,37.8426295,-122.267738
OK-C3,189,163,352,55th St at Telegraph Ave,37.8401858,-122.2618225
OK-C4,226,201,427,Miles Ave at Cavour St,37.8388,-122.258732
OK-C5,151,143,294,College Ave at Bryant Ave,37.8381269,-122.2512714
OK-D0,175,154,329,Lowell St at Stanford Ave,37.84325268467536,-122.2769811964533
OK-D2,228,252,480,Genoa St at 55th St,37.8396488,-122.2717561
OK-D3-1,134,103,237,Shattuck Ave at 55th St,37.8403643,-122.2644881
OK-D3-2,94,98,192,52nd St at MLK Jr Way,37.837369,-122.267656
OK-D4,564,565,1129,Telegraph Ave at 49th St,37.83575,-122.262654
OK-D5,250,224,474,Broadway at Coronado Ave,37.8357883,-122.2516207
OK-E3,92,78,170,45th St at MLK Jr Way,37.8335577,-122.2674183
OK-E4,313,296,609,Shattuck Ave at Telegraph Ave,37.83353887161604,-122.263693665756
OK-E5,215,204,419,45th St at Manila,37.8332935222321,-122.25622415542604
