id,start_count,end_count,combined_count,name,lat,long
BK-A3,1989,1690,3679,College Ave at Alcatraz Ave,37.8513755,-122.2525233
BK-A7,2339,2322,4661,Vine St at Shattuck Ave,37.88022244590679,-122.26959228515624
BK-B7,1846,1822,3668,Virginia St at Shattuck Ave,37.87657254910685,-122.26952791213988
BK-C1,1481,1684,3165,Fifth St at Delaware St,37.870407115465376,-122.29967594146729
BK-C5,2018,2259,4277,North Berkeley BART Station,37.8738556998122,-122.28298832384976
BK-C6,2634,2574,5208,MLK Jr Way at University Ave,37.8717192,-122.2730677
BK-C7,996,1008,2004,Shattuck Ave at Hearst Ave,37.87367621459825,-122.26848721504211
BK-C8,2849,2865,5714,University Ave at Oxford St,37.8723555,-122.2664467
BK-C9,4331,3486,7817,Euclid Ave at Hearst Ave,37.8753207,-122.2601554
BK-D1,1928,2209,4137,Addison St at Fourth St,37.866249,-122.2993708
BK-D10,2786,2523,5309,Bancroft Way at College Ave,37.869394312305865,-122.25433029666108
BK-D2,734,950,1684,10th St at University Ave,37.86906047545393,-122.29339957237242
BK-D4,1296,1527,2823,West St at University Ave,37.86996670760404,-122.28653311729433
BK-D5,937,1017,1954,California St at University Ave,37.87055532905745,-122.27972030639648
BK-D7-1,6387,6389,12776,Downtown Berkeley BART,37.870139,-122.268422
BK-D7-2,2214,2223,4437,Berkeley Civic Center,37.8690599,-122.270556
BK-E10,3034,2340,5374,Haste St at College Ave,37.86641794050319,-122.25379943847656
BK-E3,897,1141,2038,Channing Way at San Pablo Ave,37.86281710670802,-122.2902952903697
BK-E7,2823,2930,5753,Channing Way at Shattuck Ave,37.8658466,-122.2674431
BK-E8,1191,1133,2324,Fulton St at Bancroft Way,37.8677892,-122.2658964
BK-E9-1,7605,6745,14350,Bancroft Way at Telegraph Ave,37.8689109,-122.2587857
BK-E9-2,3474,2807,6281,Haste St at Telegraph Ave,37.8660431,-122.2588044
BK-F10,2249,1859,4108,Derby St at College Ave,37.86175955253551,-122.25367726566596
BK-F2,1081,1237,2318,Ninth St at Parker St,37.8588682,-122.2912095
BK-F7,1830,1868,3698,Milvia St at Derby St,37.86012459911685,-122.2693844139576
BK-F8,3248,3174,6422,Parker St at Fulton St,37.8624644,-122.2647911
BK-F9,2575,2306,4881,Telegraph Ave at Carleton St,37.8623199,-122.258801
BK-G4,1007,1377,2384,San Pablo Park,37.85578332030199,-122.28312671184538
BK-G7,3141,3165,6306,Oregon St at Adeline St,37.8575672,-122.2675583
BK-G8,1113,1005,2118,Ellsworth St at Russell St,37.85760774739988,-122.26160466670989
BK-H10,2319,2002,4321,Russell St at College Ave,37.8584732,-122.2532529
BK-H3,2218,2296,4514,Ninth St at Heinz Ave,37.8539069616438,-122.2896981239319
BK-H6,3875,3888,7763,Ashby BART Station,37.8524766,-122.2702132
BK-H8,1340,1182,2522,Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998
